time,pgd
2025-05-21 19:15:00,6.545857593084184e-08
2025-05-21 19:16:00,1.3202376639866457e-08
2025-05-21 19:18:00,2.4036276121025007e-07
2025-05-21 19:19:00,5.4533790087529046e-08
2025-05-21 19:23:00,1.2700500998086796e-08
2025-05-21 19:30:00,6.471077966919741e-08
2025-05-21 19:33:00,2.994498596349681e-08
2025-05-21 19:35:00,1.9384171621836402e-08
2025-05-21 19:36:00,5.387088582142035e-08
2025-05-21 19:37:00,5.38695823441761e-08
2025-05-21 19:42:00,1.7094569418833662e-08
2025-05-21 19:44:00,4.7045927254135813e-07
2025-05-21 20:19:00,1.0815291970759186e-07
2025-05-21 20:22:00,2.2734470255155442e-08
2025-05-21 20:27:00,8.041381919836187e-08
2025-05-21 20:28:00,5.88854283095336e-08
2025-05-21 20:41:00,4.3592212154127146e-08
2025-05-21 20:43:00,2.5922432378182778e-08
2025-05-21 20:49:00,2.7847211106254783e-08
2025-05-21 20:50:00,1.991870962997041e-08
2025-05-21 20:52:00,5.084776547697689e-08
2025-05-21 20:55:00,4.701861385907972e-08
2025-05-21 20:58:00,1.0482095634440535e-08
2025-05-21 21:01:00,2.580047812431399e-08
2025-05-21 21:03:00,1.3129169085261988e-08
2025-05-21 21:09:00,1.1334553198516983e-07
2025-05-21 21:14:00,4.6750116898692874e-08
2025-05-21 21:15:00,9.323508274512027e-08
2025-05-21 21:18:00,6.773230844793906e-08
2025-05-21 21:19:00,7.864797181963547e-08
2025-05-21 21:20:00,7.865109477544952e-08
2025-05-21 21:22:00,5.306102588369074e-08
2025-05-21 21:23:00,4.892339565169439e-08
2025-05-21 21:24:00,8.01175429409397e-08
2025-05-21 21:25:00,8.011757189402801e-08
2025-05-21 21:28:00,4.603938242672919e-08
2025-05-21 21:30:00,6.651269458895585e-08
2025-05-21 21:31:00,5.583569544008828e-08
2025-05-21 21:34:00,3.3978521940157674e-08
2025-05-21 21:39:00,1.510285794372693e-08
2025-05-21 21:41:00,6.534827513490525e-08
2025-05-21 21:43:00,3.9285447533242396e-08
2025-05-21 21:46:00,8.378242177751404e-08
2025-05-21 21:47:00,4.093078477371831e-08
2025-05-21 21:49:00,3.4957677689669685e-08
2025-05-21 21:53:00,1.522507638896368e-08
2025-05-21 21:54:00,2.542915696784994e-08
2025-05-21 21:56:00,1.4219903489292787e-07
2025-05-21 21:57:00,2.948494697965998e-08
2025-05-21 22:00:00,2.5923120627571424e-08
2025-05-21 22:23:00,1.9370250950526271e-07
2025-05-21 22:26:00,5.66166189680204e-08
2025-05-21 22:39:00,1.3931542918210282e-08
2025-05-21 22:42:00,3.410456269245268e-08
2025-05-21 22:47:00,2.4896205227857523e-08
2025-05-21 22:50:00,1.1306893302833272e-07
2025-05-21 23:13:00,1.4442096768188416e-08
2025-05-21 23:14:00,4.8996555315078686e-08
2025-05-21 23:23:00,8.433184103984768e-08
2025-05-21 23:24:00,8.012971793254612e-08
2025-05-21 23:42:00,2.7797107282237087e-08
2025-05-21 23:55:00,1.6777608125091742e-08
2025-05-21 23:56:00,2.421215574998816e-08
2025-05-22 00:03:00,3.2036886883546745e-08
2025-05-22 00:04:00,3.2038826210474695e-08
2025-05-22 00:09:00,1.725563607831615e-08
2025-05-22 00:11:00,6.128440110090622e-08
2025-05-22 00:23:00,2.251184553584e-08
2025-05-22 00:29:00,7.297898362820446e-08
2025-05-22 00:45:00,3.560536402962992e-08
2025-05-22 00:51:00,4.668648925470818e-08
2025-05-22 00:52:00,4.668158235071778e-08
2025-05-22 00:54:00,3.5929981077363955e-08
2025-05-22 00:55:00,1.4037652917977152e-07
2025-05-22 00:56:00,6.990458683635187e-08
2025-05-22 01:41:00,2.9681160615318546e-08
2025-05-22 02:07:00,4.134837406803807e-08
2025-05-22 02:09:00,4.845630195340463e-08
2025-05-22 02:26:00,1.7720054150987696e-08
2025-05-22 02:33:00,2.978075390893772e-08
2025-05-22 02:39:00,5.8843637261519345e-08
2025-05-22 02:49:00,2.8095804067257377e-08
2025-05-22 02:54:00,2.4308444933009012e-08
2025-05-22 04:57:00,2.8769126657971354e-08
2025-05-22 06:01:00,4.968463320393396e-08
2025-05-22 10:18:00,2.209903537259333e-08
2025-05-22 11:01:00,1.9474574321102376e-08
2025-05-22 11:05:00,5.546310089546901e-08
2025-05-22 12:07:00,2.9056968303656e-08
2025-05-22 12:52:00,3.7389074100767124e-08
2025-05-22 13:09:00,1.1472486672830194e-07
2025-05-22 13:11:00,1.5962991286185754e-08
2025-05-22 13:38:00,3.17715853822325e-08
2025-05-22 15:18:00,6.867553219364925e-08
2025-05-22 15:34:00,3.8999951304438775e-08
2025-05-22 21:07:00,8.736235036569615e-08
2025-05-22 21:20:00,3.577868385063777e-08
2025-05-23 00:51:00,4.123884632486605e-08
2025-05-23 01:11:00,2.438525973366984e-08
2025-05-23 02:47:00,5.7235984303359356e-08
2025-05-23 03:10:00,3.743610886914715e-08
2025-05-23 04:01:00,4.688953873172522e-08
2025-05-23 05:31:00,1.4631870798687343e-07
2025-05-23 06:23:00,2.84396676812883e-08
2025-05-23 07:48:00,2.5804782514566452e-08
2025-05-23 08:22:00,1.1849312656165804e-07
2025-05-23 08:34:00,5.4804711657389964e-08
2025-05-23 12:22:00,1.2287267536544075e-08
2025-05-23 13:21:00,1.1795279512206607e-08
2025-05-23 14:10:00,3.133030915044541e-08
2025-05-23 15:00:00,7.03169663822019e-08
2025-05-23 15:25:00,4.60340500033257e-08
2025-05-23 15:55:00,1.2935525584328393e-08
2025-05-23 17:50:00,2.8510518470626102e-08
2025-05-23 19:08:00,2.868986080473015e-08
2025-05-23 19:10:00,3.317437154191831e-08
2025-05-23 20:29:00,1.4753222682973043e-08
2025-05-23 21:09:00,1.651068005176024e-08
2025-05-23 21:25:00,6.267521490756427e-08
2025-05-23 22:24:00,1.2711580617272848e-08
2025-05-23 22:50:00,4.5319185315251276e-08
2025-05-23 23:06:00,1.0131347244234312e-07
2025-05-23 23:54:00,8.241957130757864e-09
2025-05-24 04:33:00,4.945585803474854e-08
2025-05-24 04:34:00,3.6161986881391607e-08
2025-05-24 05:05:00,3.839720170591737e-08
2025-05-24 05:19:00,3.8389424319319156e-08
2025-05-24 05:22:00,4.8464094125324626e-08
2025-05-24 07:46:00,2.4745554620672113e-08
2025-05-24 08:14:00,3.7871470358129116e-08
2025-05-24 08:36:00,1.3970883939176017e-08
2025-05-24 09:14:00,3.836271954794594e-08
2025-05-24 10:47:00,3.5205758652521135e-08
2025-05-24 11:01:00,3.091132565404902e-08
2025-05-24 11:54:00,6.343306831178858e-08
2025-05-24 15:15:00,1.0065526059116703e-08
2025-05-24 16:25:00,1.0890933125518866e-07
2025-05-24 16:45:00,1.0901255237055993e-07
2025-05-24 16:46:00,1.0901449102966892e-07
2025-05-24 17:37:00,1.0125706908268367e-08
2025-05-24 17:52:00,4.213615985693372e-08
2025-05-24 18:24:00,4.2727766631496376e-08
2025-05-24 18:56:00,1.4746593924185468e-08
2025-05-24 19:45:00,2.1658535352528855e-08
2025-05-24 21:51:00,2.8279238359476724e-08
2025-05-24 23:22:00,1.3934058087423208e-08
2025-05-24 23:38:00,1.7996616051292913e-08
2025-05-25 03:27:00,4.2257774272648684e-08
2025-05-25 14:51:00,8.222009562755195e-08
2025-05-25 18:20:00,8.184949574061554e-08
2025-05-25 23:42:00,1.285651229442895e-08
2025-05-26 00:22:00,2.080754868303794e-07
